date|time|description|vendor|amount
2024-01-31|06:00:49|marketing expense|Best Buy|4593.13
2025-04-25|16:57:28|domain renewal|XYZ Ltd|409.39
2025-06-06|13:16:27|domain renewal|Sarah Johnson|3107.51
2024-08-15|09:38:33|domain renewal|Best Buy|1998.65
2024-01-13|06:47:55|advertising campaign|Delta Partners|-887.15
2025-07-09|22:31:14|consulting fee|Walmart|333.83
2023-07-22|23:39:24|app subscription|Best Buy|2495.33
2024-08-24|12:42:45|website design invoice|Target|2330.89
2023-03-20|14:53:59|app subscription|Acme Corp|4034.39
2025-07-31|01:32:43|travel reimbursement|Spectrum|762.84
2023-10-20|04:51:08|marketing expense|Target|1515.51
2024-09-08|17:11:37|training seminar|IKEA|2113.78
2023-02-08|18:40:58|office supplies|Joe Smith|-6.14
2025-04-18|11:48:14|travel reimbursement|XYZ Ltd|3467.56
2025-08-24|18:18:01|software subscription|Acme Corp|4852.04
2025-07-31|10:42:38|business lunch|Sarah Johnson|82.38
2024-06-26|19:48:06|internet bill|Joe Smith|-900.62
2025-02-06|04:43:09|laptop purchase|Acme Corp|3737.31
2024-10-13|14:02:03|coffee supplies|Apple|3018.62
2024-11-04|09:04:15|client payment|Mark Thompson|4639.56
2023-02-08|02:27:28|website design invoice|Amazon|-579.78
2024-01-02|00:23:10|travel reimbursement|Apple|4889.87
2025-06-13|09:43:13|marketing expense|Mark Thompson|4952.53
2024-04-11|00:15:38|coffee supplies|Walmart|4530.99
2023-09-23|22:25:19|laptop purchase|BlueSky Consulting|2630.08
2023-03-06|15:51:45|payment received|Delta Partners|2846.55
2024-12-08|06:42:33|software subscription|Amazon|4271.95
2025-01-20|08:06:42|coffee supplies|Delta Partners|179.4
2025-03-24|21:14:07|client payment|XYZ Ltd|712.36
2023-03-04|12:48:27|laptop purchase|Tech Solutions|3618.37
2023-04-23|16:42:28|laptop purchase|Sunrise LLC|374.83
2024-02-26|22:44:52|consulting fee|Sarah Johnson|-295.38
2023-06-25|08:00:01|training seminar|Acme Corp|-706.39
2025-09-18|01:50:53|travel reimbursement|Staples|4930.37
2025-01-07|19:53:55|training seminar|Tech Solutions|1752.13
2024-05-09|08:50:54|marketing expense|Sunrise LLC|4457.42
2024-08-05|02:36:12|internet bill|Adobe|3023.68
2023-09-22|09:57:26|payment received|Adobe|3344.13
2023-02-24|07:05:06|travel reimbursement|Spectrum|155.9
2024-10-22|23:09:51|equipment maintenance|Home Depot|2818.91
2024-05-19|21:05:57|equipment maintenance|Sunrise LLC|4242.87
2024-02-18|22:07:42|training seminar|Target|1464.97
2024-05-14|01:46:52|training seminar|Mark Thompson|970.72
2025-05-17|19:17:14|training seminar|Apple|437.96
2025-04-12|15:48:00|website design invoice|Best Buy|1664.75
2023-01-09|13:59:28|project milestone payment|Adobe|4377.88
2024-08-26|21:47:44|coffee supplies|Acme Corp|3881.57
2025-04-17|22:31:27|software subscription|Acme Corp|3189.31
2024-09-10|14:45:22|internet bill|Walmart|1503.4
2024-03-27|14:28:38|laptop purchase|Spectrum|1254.7
2025-02-17|19:42:31|business lunch|IKEA|1637.61
2023-11-06|08:54:10|payment received|BlueSky Consulting|25.51
2025-01-17|12:30:28|project milestone payment|Sunrise LLC|3370.93
2024-02-22|23:25:24|client payment|Staples|4611.92
2023-02-14|18:35:58|client payment|Staples|2017.7
2024-07-14|05:25:06|coffee supplies|Sunrise LLC|131.93
2024-04-04|07:42:46|domain renewal|Mark Thompson|653.1
2024-05-04|01:07:37|domain renewal|Target|1819.58
2023-02-10|10:25:40|office supplies|Sarah Johnson|1209.52
2023-02-06|09:19:56|advertising campaign|Home Depot|3192.72
2024-09-15|14:57:14|training seminar|Joe Smith|2940.7
2023-01-16|12:16:05|travel reimbursement|Mark Thompson|3523.61
2023-10-16|23:26:25|project milestone payment|XYZ Ltd|3287.35
2023-07-10|01:02:50|business lunch|Joe Smith|334.54
2025-04-20|00:53:21|client payment|Spectrum|3495.28
2025-02-25|03:47:52|advertising campaign|Delta Partners|620.29
2025-05-22|17:04:46|printer ink|Sarah Johnson|4477.73
2025-06-20|11:37:11|website design invoice|Tech Solutions|-423.13
2023-04-20|17:56:57|travel reimbursement|Acme Corp|4899.72
2024-03-27|20:49:37|project milestone payment|Adobe|-763.83
2023-02-27|15:31:30|website design invoice|Acme Corp|368.75
2023-02-13|14:43:00|consulting fee|Delta Partners|3793.98
2023-08-02|02:20:55|ergonomic chair|Acme Corp|2428.55
2025-05-22|02:46:02|internet bill|Mark Thompson|1516.47
2025-10-16|15:01:42|phone|yair |1222.0
2025-10-16|15:03:00|phone|bob|-90.0
2025-10-17|12:48:23|gpu|nvidia|500.0
2025-10-17|12:48:46|gpu|nvidia|-300.0
2025-10-17|13:00:32|gpu|nvidia|-560.0
2025-11-08|22:53:52|Phone|Esmeralda|129.0
2026-01-16|09:20:46|Watch|Casio|123.0
2026-01-16|12:27:41|soda|pepsi|124.0
